,YearsOperating,Employees,MonthlyRevenue,MonthlyExpenses,MarketingBudget,NewCustomers,RepeatCustomers,CustomerSatisfaction,EmployeeTurnover,ProductInnovation,MarketShare,RevenueGrowth,ProfitMargin,RepeatCustomerRate,BGPI,RiskScore
YearsOperating,1.0,-0.006546487060775392,0.0022687305522042615,0.0006832538372668247,-0.004949430550608599,-0.012385751167626307,-0.011893227181286308,-0.0004304715265696344,-0.006414188708434332,-0.006397608489899376,-0.01011279632169696,-0.007032147024684246,0.00968107465709417,-0.007318329132588451,-0.0014911777299675382,0.0014911777299675426
Employees,-0.006546487060775392,1.0,0.06527549171193098,0.09286096018071542,0.051526470992736946,0.04150104464608289,0.03914155086350634,-0.1017723578922386,0.06218940116166893,-0.05608506682569094,-0.018003656073213567,-0.05237487771725759,-0.1331011787529295,-0.012019316527920317,-0.14108873162471933,0.14108873162471933
MonthlyRevenue,0.0022687305522042615,0.06527549171193098,1.0,0.978243013952534,0.8174544281291155,0.6476507082110639,0.6571621561600047,-0.014541601020613004,-0.15883207921359288,0.09581560694901242,-0.01622199820558291,0.04648062814359143,0.13965112963902163,-0.015272774487653526,0.12442758342112835,-0.12442758342112839
MonthlyExpenses,0.0006832538372668247,0.09286096018071542,0.978243013952534,1.0,0.80228780325406,0.6381560052672737,0.6452876902314917,-0.02804136209801781,-0.12292568522214853,0.06950244586271166,-0.018879913417064402,0.029768171806091353,-0.0311073846472411,-0.01627977331308781,0.024069244107804044,-0.024069244107804037
MarketingBudget,-0.004949430550608599,0.051526470992736946,0.8174544281291155,0.80228780325406,1.0,0.5315263785701724,0.5442908759924484,-0.004629817268025612,-0.14060943180226074,0.08985843996660253,-0.009823864579094921,0.03100124703557941,0.11386957103092406,-0.006880808493254606,0.10584007848336852,-0.10584007848336849
NewCustomers,-0.012385751167626307,0.04150104464608289,0.6476507082110639,0.6381560052672737,0.5315263785701724,1.0,0.8908863042548139,0.0015296971292733394,-0.11702670373303563,0.07686734436237037,-0.02105852017965734,0.03015588713790751,0.08661817198691317,-0.19640467633597558,0.06182454237256564,-0.061824542372565655
RepeatCustomers,-0.011893227181286308,0.03914155086350634,0.6571621561600047,0.6452876902314917,0.5442908759924484,0.8908863042548139,1.0,0.0010703641361822613,-0.11957636800887456,0.0669044912606114,-0.014497706958424903,0.03730327795675384,0.09450124949565461,0.14986981718494669,0.11497462753880985,-0.11497462753880992
CustomerSatisfaction,-0.0004304715265696344,-0.1017723578922386,-0.014541601020613004,-0.02804136209801781,-0.004629817268025612,0.0015296971292733394,0.0010703641361822613,1.0,-0.09842842309973342,0.13455446704889282,-0.010701972100916344,0.17013264050498073,0.09163836096669589,-0.0034347495607613024,0.47807189465234035,-0.47807189465234035
EmployeeTurnover,-0.006414188708434332,0.06218940116166893,-0.15883207921359288,-0.12292568522214853,-0.14060943180226074,-0.11702670373303563,-0.11957636800887456,-0.09842842309973342,1.0,-0.18725866429068538,-0.004953433890291391,-0.10396403584119064,-0.2605422058112482,0.00441070224439256,-0.3610830772700247,0.36108307727002464
ProductInnovation,-0.006397608489899376,-0.05608506682569094,0.09581560694901242,0.06950244586271166,0.08985843996660253,0.07686734436237037,0.0669044912606114,0.13455446704889282,-0.18725866429068538,1.0,-0.03570785411253981,0.364538057010522,0.16567039867101666,-0.02244031761829561,0.6105958113764314,-0.6105958113764314
MarketShare,-0.01011279632169696,-0.018003656073213567,-0.01622199820558291,-0.018879913417064402,-0.009823864579094921,-0.02105852017965734,-0.014497706958424903,-0.010701972100916344,-0.004953433890291391,-0.03570785411253981,1.0,-0.002955827199844815,0.005623988233926319,0.0036066310993230636,-0.011905665370920911,0.011905665370920896
RevenueGrowth,-0.007032147024684246,-0.05237487771725759,0.04648062814359143,0.029768171806091353,0.03100124703557941,0.03015588713790751,0.03730327795675384,0.17013264050498073,-0.10396403584119064,0.364538057010522,-0.002955827199844815,1.0,0.10814704773725961,-0.0006954196812759932,0.706248916778277,-0.7062489167782768
ProfitMargin,0.00968107465709417,-0.1331011787529295,0.13965112963902163,-0.0311073846472411,0.11386957103092406,0.08661817198691317,0.09450124949565461,0.09163836096669589,-0.2605422058112482,0.16567039867101666,0.005623988233926319,0.10814704773725961,1.0,0.000785095460182294,0.604758206290293,-0.6047582062902931
RepeatCustomerRate,-0.007318329132588451,-0.012019316527920317,-0.015272774487653526,-0.01627977331308781,-0.006880808493254606,-0.19640467633597558,0.14986981718494669,-0.0034347495607613024,0.00441070224439256,-0.02244031761829561,0.0036066310993230636,-0.0006954196812759932,0.000785095460182294,1.0,0.13332873203720239,-0.13332873203720239
BGPI,-0.0014911777299675382,-0.14108873162471933,0.12442758342112835,0.024069244107804044,0.10584007848336852,0.06182454237256564,0.11497462753880985,0.47807189465234035,-0.3610830772700247,0.6105958113764314,-0.011905665370920911,0.706248916778277,0.604758206290293,0.13332873203720239,1.0,-1.0
RiskScore,0.0014911777299675426,0.14108873162471933,-0.12442758342112839,-0.024069244107804037,-0.10584007848336849,-0.061824542372565655,-0.11497462753880992,-0.47807189465234035,0.36108307727002464,-0.6105958113764314,0.011905665370920896,-0.7062489167782768,-0.6047582062902931,-0.13332873203720239,-1.0,1.0
